Time,DMM_Meas1
2026-02-05 12:15:20.636,1.0
2026-02-05 12:15:21.645,1.66572
2026-02-05 12:15:23.031,1.66571
2026-02-05 12:15:24.368,1.66571
2026-02-05 12:15:25.380,1.66571
2026-02-05 12:15:26.390,1.66571
2026-02-05 12:15:27.398,1.66571
2026-02-05 12:15:28.407,1.66571
2026-02-05 12:15:29.417,1.6657
2026-02-05 12:15:30.426,1.6657
2026-02-05 12:15:31.454,1.6657
2026-02-05 12:15:32.463,1.6657
2026-02-05 12:15:33.476,1.66569
2026-02-05 12:15:34.487,1.66569
2026-02-05 12:15:35.504,1.66569
2026-02-05 12:15:36.515,1.66569
2026-02-05 12:15:37.633,1.66569
